,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,1,1,0.02,0,0,0.3,0.3
PY,1,1,0.01,0,0,0.3,0.3
PZ,1,1,0.02,0,0,0.3,0.3
MX,1,1,0.02,0,0,0.3,0.3
MY,1,1,0.01,0,0,0.3,0.3
MZ,1,1,0.02,0,0,0.3,0.3
