,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,3,3,0.06,0.9,0.9,0.9,0.3
PY,3,3,0.03,0.9,0.9,0.9,0.3
PZ,3,3,0.02,0.9,0.9,0.9,0.3
MX,3,3,0.06,0.9,0.9,0.9,0.3
MY,3,3,0.03,0.9,0.9,0.9,0.3
MZ,3,3,0.02,0.9,0.9,0.9,0.3
