,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,3,3,0.03,0,0,0.3,0.3
PY,3,3,0.015,0,0,0.3,0.3
PZ,3,3,0.03,0,0,0.3,0.3
MX,3,3,0.03,0,0,0.3,0.3
MY,3,3,0.015,0,0,0.3,0.3
MZ,3,3,0.03,0,0,0.3,0.3
