,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,5,5,0.01,0,0,0.9,0.2
PY,5,5,0.01,0,0,0.9,0.2
PZ,5,5,0.01,0,0,0.9,0.2
MX,5,5,0.01,0,0,0.8,0.08
MY,5,5,0.01,0,0,0.9,0.2
MZ,5,5,0.01,0,0,0.9,0.2
