,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,1,1,0.06,0.9,0.9,0.9,0.07
PY,1,1,0.03,0.9,0.9,0.9,0.07
PZ,1,1,0.02,0.9,0.9,0.7,0.1
MX,1,1,0.06,0.9,0.9,0.9,0.07
MY,1,1,0.03,0.9,0.9,0.9,0.07
MZ,1,1,0.02,0.9,0.9,0.9,0.07
