,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,2,2,0.02,0,0,0.3,0.3
PY,2,2,0.02,0,0,0.3,0.3
PZ,2,2,0.01,0,0,0.3,0.3
MX,2,2,0.02,0,0,0.3,0.3
MY,2,2,0.02,0,0,0.3,0.3
MZ,2,2,0.01,0,0,0.3,0.3
