,begin_node,end_node,area,epsilon_in,alpha_in,epsilon_out,alpha_out
PX,4,4,0.005,0,0,0.3,0.3
PY,4,4,0.005,0,0,0.3,0.3
PZ,4,4,0.01,0,0,0.3,0.3
MX,4,4,0.005,0,0,0.3,0.3
MY,4,4,0.005,0,0,0.3,0.3
MZ,4,4,0.01,0,0,0.3,0.3
