time[s],flux[W/m2],phi[deg],theta[deg]
0.0,1336.0,179.3629774084707,31.53979035509238
100.0,0.0,174.85941251757743,176.24908800854735
200.0,0.0,169.1901556921826,178.21123892899956
300.0,0.0,163.51691997019364,178.81957088328735
400.0,0.0,157.84275488394812,179.11360143041395
500.0,0.0,152.17037715987294,179.2785905370147
600.0,0.0,146.49597688797138,179.39146323303225
700.0,0.0,140.82114503099842,179.4692510313982
800.0,0.0,135.14840515699237,179.5208617814813
900.0,0.0,129.473436052634,179.56274886948324
1000.0,0.0,123.79841672544852,179.59414198431384
1100.0,1336.0,118.123353896573,179.6176843092192
1200.0,1336.0,112.45074817397789,179.63192547571603
1300.0,1336.0,106.77561179235833,179.64447854920851
1400.0,1336.0,101.10044116152066,179.65277716621438
1500.0,1336.0,95.42523815724846,179.65731737136133
1600.0,1336.0,89.7521952917618,179.6552556118277
1700.0,1336.0,84.07724757873075,179.6531664198207
1800.0,1336.0,78.40196050734833,179.64740270873352
1900.0,1336.0,72.72884611742602,179.63468807027576
2000.0,1336.0,67.05351671901228,179.6209584802163
2100.0,1336.0,61.378171091429714,179.60228521103443
2200.0,1336.0,55.70281475080199,179.57751506266283
2300.0,1336.0,50.02997354642308,179.54112695410618
2400.0,1336.0,44.35462456678135,179.49751143565908
2500.0,1336.0,38.67929940775335,179.43870499222692
2600.0,1336.0,33.00402373299223,179.35707197842402
2700.0,1336.0,27.331070246741636,179.23184274809657
2800.0,1336.0,21.656394441669246,179.04662083864022
2900.0,1336.0,15.98181428077425,178.72429088891957
3000.0,1336.0,10.310626892955865,178.02285207258942
3100.0,1336.0,4.6424296988715765,175.62964755231272
3200.0,1336.0,1.1045849310120295,18.642426921638688
3300.0,1336.0,6.731488492449111,3.0119456653676173
3400.0,1336.0,12.40042379293027,1.6567902815552031
3500.0,1336.0,18.074408422404055,1.1468070376400792
3600.0,1336.0,23.74915100812708,0.8837346208980614
3700.0,1336.0,29.424204916423747,0.7247870934581033
3800.0,1336.0,35.097247673505855,0.6249871404402699
3900.0,1336.0,40.77221350344795,0.5501120659162357
4000.0,1336.0,46.4475368886757,0.4957663427162755
4100.0,1336.0,52.12070487277856,0.4590805882969273
4200.0,1336.0,57.79605096077571,0.42801359507617054
4300.0,1336.0,63.471393036935815,0.40441069304133376
4400.0,1336.0,69.1467239131417,0.38667711487275347
4500.0,1336.0,74.81953964651373,0.37677072385149546
4600.0,1336.0,80.49483129620747,0.3679405717665399
4700.0,1336.0,86.17009898457931,0.36287944365309355
4800.0,1336.0,91.84534000579521,0.3613883360343259
4900.0,1336.0,97.51835883060909,0.36661483162373754
5000.0,1336.0,103.19322529140649,0.37223731471429233
5100.0,1336.0,108.86837126095239,0.38219680546337487
5200.0,1336.0,114.54128211571135,0.4003321642544244
5300.0,1336.0,120.21635189926148,0.42084587911639126
5400.0,0.0,125.89137923218827,0.44847293086217893
5500.0,0.0,131.56635817915563,0.4853492524080469
5600.0,0.0,137.23875585944518,0.5390979983405014
5700.0,0.0,142.9135989942294,0.6071008444650867
5800.0,0.0,148.5883390289897,0.7027392871762187
5900.0,0.0,154.26292045861464,0.843931703666237
6000.0,0.0,159.93497750020944,1.077958956441942
6100.0,0.0,165.60866402833204,1.4888030949360855
6200.0,0.0,171.28028855099691,2.4405678908378095
6300.0,1336.0,179.3629774084707,31.53979035509238
6400.0,0.0,174.85941251757743,176.24908800854735
6500.0,0.0,169.1901556921826,178.21123892899956
6600.0,0.0,163.51691997019364,178.81957088328735
6700.0,0.0,157.84275488394812,179.11360143041395
6800.0,0.0,152.17037715987294,179.2785905370147
6900.0,0.0,146.49597688797138,179.39146323303225
7000.0,0.0,140.82114503099842,179.4692510313982
7100.0,0.0,135.14840515699237,179.5208617814813
7200.0,0.0,129.473436052634,179.56274886948324
7300.0,0.0,123.79841672544852,179.59414198431384
7400.0,1336.0,118.123353896573,179.6176843092192
7500.0,1336.0,112.45074817397789,179.63192547571603
7600.0,1336.0,106.77561179235833,179.64447854920851
7700.0,1336.0,101.10044116152066,179.65277716621438
7800.0,1336.0,95.42523815724846,179.65731737136133
7900.0,1336.0,89.7521952917618,179.6552556118277
8000.0,1336.0,84.07724757873075,179.6531664198207
8100.0,1336.0,78.40196050734833,179.64740270873352
8200.0,1336.0,72.72884611742602,179.63468807027576
8300.0,1336.0,67.05351671901228,179.6209584802163
8400.0,1336.0,61.378171091429714,179.60228521103443
8500.0,1336.0,55.70281475080199,179.57751506266283
8600.0,1336.0,50.02997354642308,179.54112695410618
8700.0,1336.0,44.35462456678135,179.49751143565908
8800.0,1336.0,38.67929940775335,179.43870499222692
8900.0,1336.0,33.00402373299223,179.35707197842402
9000.0,1336.0,27.331070246741636,179.23184274809657
9100.0,1336.0,21.656394441669246,179.04662083864022
9200.0,1336.0,15.98181428077425,178.72429088891957
9300.0,1336.0,10.310626892955865,178.02285207258942
9400.0,1336.0,4.6424296988715765,175.62964755231272
9500.0,1336.0,1.1045849310120295,18.642426921638688
9600.0,1336.0,6.731488492449111,3.0119456653676173
9700.0,1336.0,12.40042379293027,1.6567902815552031
9800.0,1336.0,18.074408422404055,1.1468070376400792
9900.0,1336.0,23.74915100812708,0.8837346208980614
10000.0,1336.0,29.424204916423747,0.7247870934581033
10100.0,1336.0,35.097247673505855,0.6249871404402699
10200.0,1336.0,40.77221350344795,0.5501120659162357
10300.0,1336.0,46.4475368886757,0.4957663427162755
10400.0,1336.0,52.12070487277856,0.4590805882969273
10500.0,1336.0,57.79605096077571,0.42801359507617054
10600.0,1336.0,63.471393036935815,0.40441069304133376
10700.0,1336.0,69.1467239131417,0.38667711487275347
10800.0,1336.0,74.81953964651373,0.37677072385149546
10900.0,1336.0,80.49483129620747,0.3679405717665399
11000.0,1336.0,86.17009898457931,0.36287944365309355
11100.0,1336.0,91.84534000579521,0.3613883360343259
11200.0,1336.0,97.51835883060909,0.36661483162373754
11300.0,1336.0,103.19322529140649,0.37223731471429233
11400.0,1336.0,108.86837126095239,0.38219680546337487
11500.0,1336.0,114.54128211571135,0.4003321642544244
