,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,-0.590059447,-0.8058852771,-0.04877262693,1,149000000000,7270000000,3150000000,-1.36E-09,-7406000,0,0.5735768745,-1.05E-16,0.8191517375
1,-0.590107439,-0.8058853005,-0.04818809857,1,149000000000,7270000000,3150000000,4207.929312,-7405996.366,6009.539017,0.5735765931,0.0009905887891,0.8191513356
2,-0.5901548521,-0.8058853238,-0.04760352294,1,149000000000,7270000000,3150000000,8415.854494,-7405985.465,12019.07214,0.5735757489,0.001981176606,0.8191501298
3,-0.590201686,-0.8058853473,-0.04701890062,1,149000000000,7270000000,3150000000,12623.77142,-7405967.297,18028.59346,0.5735743418,0.00297176248,0.8191481204
4,-0.5902479408,-0.8058853706,-0.04643423217,1,149000000000,7270000000,3150000000,16831.67596,-7405941.862,24038.0971,0.5735723719,0.003962345437,0.819145307
5,-0.5902936164,-0.805885394,-0.04584951817,1,149000000000,7270000000,3150000000,21039.56398,-7405909.16,30047.57715,0.5735698391,0.004952924505,0.8191416899
6,-0.5903387127,-0.8058854174,-0.0452647592,1,149000000000,7270000000,3150000000,25247.43135,-7405869.19,36057.02771,0.5735667436,0.005943498715,0.819137269
7,-0.5903832298,-0.8058854408,-0.04467995582,1,149000000000,7270000000,3150000000,29455.27395,-7405821.953,42066.44289,0.5735630852,0.006934067091,0.8191320443
8,-0.5904271676,-0.8058854642,-0.04409510862,1,149000000000,7270000000,3150000000,33663.08765,-7405767.449,48075.81679,0.573558864,0.007924628664,0.8191260158
9,-0.590470526,-0.8058854876,-0.04351021816,1,149000000000,7270000000,3150000000,37870.86831,-7405705.678,54085.14352,0.5735540799,0.00891518246,0.8191191836
10,-0.590513305,-0.8058855111,-0.04292528503,1,149000000000,7270000000,3150000000,42078.61181,-7405636.64,60094.41718,0.5735487331,0.009905727508,0.8191115476
11,-0.5905555045,-0.8058855345,-0.04234030978,1,149000000000,7270000000,3150000000,46286.31403,-7405560.335,66103.63187,0.5735428234,0.01089626284,0.8191031078
12,-0.5905971246,-0.8058855579,-0.04175529301,1,149000000000,7270000000,3150000000,50493.97082,-7405476.764,72112.78169,0.573536351,0.01188678747,0.8190938642
13,-0.5906381651,-0.8058855813,-0.04117023527,1,149000000000,7270000000,3150000000,54701.57807,-7405385.926,78121.86075,0.5735293158,0.01287730044,0.8190838168
14,-0.590678626,-0.8058856047,-0.04058513716,1,149000000000,7270000000,3150000000,58909.13163,-7405287.821,84130.86315,0.5735217177,0.01386780078,0.8190729659
15,-0.5907185073,-0.8058856281,-0.03999999923,1,149000000000,7270000000,3150000000,63116.6274,-7405182.449,90139.783,0.5735135569,0.01485828751,0.8190613111
16,-0.5907578091,-0.8058856515,-0.03941482206,1,149000000000,7270000000,3150000000,67324.06122,-7405069.811,96148.6144,0.5735048335,0.01584875965,0.8190488525
17,-0.5907965311,-0.8058856749,-0.03882960624,1,149000000000,7270000000,3150000000,71531.42899,-7404949.907,102157.3514,0.5734955471,0.01683921625,0.8190355903
18,-0.5908346734,-0.8058856983,-0.03824435233,1,149000000000,7270000000,3150000000,75738.72656,-7404822.736,108165.9882,0.5734856981,0.01782965633,0.8190215244
19,-0.5908722359,-0.8058857218,-0.0376590609,1,149000000000,7270000000,3150000000,79945.94982,-7404688.299,114174.5189,0.5734752862,0.0188200789,0.8190066549
20,-0.5909092186,-0.8058857452,-0.03707373254,1,149000000000,7270000000,3150000000,84153.09462,-7404546.597,120182.9375,0.5734643117,0.01981048302,0.8189909816
21,-0.5909456215,-0.8058857686,-0.03648836781,1,149000000000,7270000000,3150000000,88360.15685,-7404397.628,126191.2382,0.5734527744,0.02080086768,0.8189745048
22,-0.5909814445,-0.8058857921,-0.03590296729,1,149000000000,7270000000,3150000000,92567.13237,-7404241.394,132199.4151,0.5734406744,0.02179123195,0.8189572243
23,-0.5910166876,-0.8058858155,-0.03531753155,1,149000000000,7270000000,3150000000,96774.01707,-7404077.894,138207.4623,0.5734280117,0.02278157482,0.8189391401
24,-0.5910513508,-0.8058858389,-0.03473206118,1,149000000000,7270000000,3150000000,100980.8068,-7403907.129,144215.3738,0.5734147863,0.02377189533,0.8189202524
25,-0.591085434,-0.8058858623,-0.03414655674,1,149000000000,7270000000,3150000000,105187.4974,-7403729.099,150223.1438,0.5734009984,0.02476219254,0.8189005611
26,-0.5911189372,-0.8058858858,-0.0335610188,1,149000000000,7270000000,3150000000,109394.0849,-7403543.804,156230.7664,0.5733866476,0.02575246543,0.8188800662
27,-0.5911518604,-0.8058859092,-0.03297544795,1,149000000000,7270000000,3150000000,113600.5649,-7403351.244,162238.2357,0.5733717343,0.02674271305,0.8188587678
28,-0.5911842034,-0.8058859326,-0.03238984476,1,149000000000,7270000000,3150000000,117806.9335,-7403151.419,168245.5458,0.5733562583,0.02773293444,0.8188366659
29,-0.5912159664,-0.805885956,-0.03180420978,1,149000000000,7270000000,3150000000,122013.1866,-7402944.33,174252.6908,0.5733402198,0.0287231286,0.8188137604
30,-0.5912471491,-0.8058859795,-0.03121854364,1,149000000000,7270000000,3150000000,126219.3198,-7402729.976,180259.6649,0.5733236186,0.0297132946,0.8187900516
