Node,weight[kg],capacity[J/K/kg],internal_heat[W],temperature[K]
1,1,900,0,298.0
2,2.3,800,12.8,298.0
3,2.6,600,19.6,298.0
4,0.5,700,7,298.0
5,1.42,800,0,298.0
