,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
30,-0.5699616645,-0.8216440527,0.006689659244,1,-150000000000,-1530000000,-665000000,-126219.3198,7402729.976,180259.6649,-0.5733236186,-0.02971329461,0.8187900515
31,-0.5699547251,-0.8216440756,0.007254253376,1,-150000000000,-1530000000,-665000000,-130425.3293,7402508.359,186266.462,-0.5733064548,-0.03070343144,0.8187655392
32,-0.5699472265,-0.8216440985,0.00781884036,1,-150000000000,-1530000000,-665000000,-134631.2107,7402279.477,192273.0764,-0.5732887286,-0.03169353814,0.8187402234
33,-0.5699391685,-0.8216441214,0.008383419654,1,-150000000000,-1530000000,-665000000,-138836.96,7402043.332,198279.5021,-0.5732704396,-0.03268361375,0.8187141042
34,-0.5699305513,-0.8216441443,0.008947990709,1,-150000000000,-1530000000,-665000000,-143042.5731,7401799.924,204285.7332,-0.5732515882,-0.03367365727,0.8186871817
35,-0.5699213748,-0.8216441672,0.009512552974,1,-150000000000,-1530000000,-665000000,-147248.0459,7401549.253,210291.7639,-0.5732321743,-0.03466366777,0.8186594558
36,-0.5699116391,-0.8216441902,0.01007710588,1,-150000000000,-1530000000,-665000000,-151453.3741,7401291.318,216297.5882,-0.5732121978,-0.03565364424,0.8186309266
37,-0.5699013442,-0.8216442131,0.01064164887,1,-150000000000,-1530000000,-665000000,-155658.5537,7401026.121,222303.2003,-0.5731916589,-0.03664358573,0.818601594
38,-0.56989049,-0.821644236,0.01120618142,1,-150000000000,-1530000000,-665000000,-159863.5806,7400753.662,228308.5942,-0.5731705576,-0.03763349125,0.8185714583
39,-0.5698812608,-0.8216436957,0.01170408208,1,-150000000000,-1540000000,-665000000,-164068.4506,7400473.941,234313.7641,-0.5731488939,-0.03862335986,0.8185405192
40,-0.5698693542,-0.8216437186,0.01226859425,1,-150000000000,-1540000000,-665000000,-168273.1597,7400186.957,240318.7041,-0.5731266676,-0.03961319057,0.818508777
41,-0.5698568884,-0.8216437415,0.01283309435,1,-150000000000,-1540000000,-665000000,-172477.7036,7399892.712,246323.4082,-0.5731038791,-0.0406029824,0.8184762316
42,-0.5698438635,-0.8216437644,0.01339758183,1,-150000000000,-1540000000,-665000000,-176682.0782,7399591.206,252327.8707,-0.5730805282,-0.04159273438,0.818442883
43,-0.5698302793,-0.8216437873,0.01396205616,1,-150000000000,-1540000000,-665000000,-180886.2795,7399282.439,258332.0855,-0.5730566148,-0.04258244555,0.8184087313
44,-0.569816136,-0.8216438102,0.01452651677,1,-150000000000,-1540000000,-665000000,-185090.3033,7398966.412,264336.0469,-0.5730321392,-0.04357211495,0.8183737766
45,-0.5698014336,-0.8216438331,0.01509096312,1,-150000000000,-1540000000,-665000000,-189294.1455,7398643.123,270339.7489,-0.5730071013,-0.04456174158,0.8183380188
46,-0.5697861721,-0.821643856,0.01565539463,1,-150000000000,-1540000000,-665000000,-193497.8019,7398312.575,276343.1856,-0.5729815012,-0.04555132449,0.818301458
47,-0.5697703513,-0.821643879,0.01621981076,1,-150000000000,-1540000000,-665000000,-197701.2684,7397974.767,282346.3511,-0.5729553386,-0.0465408627,0.8182640943
48,-0.5697539716,-0.8216439019,0.01678421096,1,-150000000000,-1540000000,-665000000,-201904.541,7397629.7,288349.2396,-0.572928614,-0.04753035525,0.8182259276
49,-0.5697370328,-0.8216439247,0.01734859468,1,-150000000000,-1540000000,-665000000,-206107.6154,7397277.374,294351.8451,-0.5729013272,-0.04851980116,0.818186958
50,-0.5697195349,-0.8216439476,0.01791296134,1,-150000000000,-1540000000,-665000000,-210310.4875,7396917.789,300354.1618,-0.5728734782,-0.04950919944,0.8181471855
51,-0.5697014779,-0.8216439705,0.01847731043,1,-150000000000,-1540000000,-665000000,-214513.1534,7396550.946,306356.1838,-0.572845067,-0.05049854916,0.8181066103
52,-0.569682862,-0.8216439934,0.01904164136,1,-150000000000,-1540000000,-665000000,-218715.6087,7396176.845,312357.9051,-0.5728160938,-0.05148784931,0.8180652322
53,-0.5696636869,-0.8216440163,0.01960595359,1,-150000000000,-1540000000,-665000000,-222917.8494,7395795.486,318359.32,-0.5727865584,-0.05247709893,0.8180230514
54,-0.5696439529,-0.8216440392,0.02017024656,1,-150000000000,-1540000000,-665000000,-227119.8713,7395406.87,324360.4224,-0.572756461,-0.05346629709,0.8179800679
55,-0.56962366,-0.8216440621,0.02073451972,1,-150000000000,-1540000000,-665000000,-231321.6704,7395010.997,330361.2066,-0.5727258016,-0.05445544275,0.8179362817
56,-0.569602808,-0.821644085,0.02129877253,1,-150000000000,-1540000000,-665000000,-235523.2425,7394607.867,336361.6666,-0.5726945801,-0.05544453499,0.817891693
57,-0.5695813972,-0.8216441079,0.02186300441,1,-150000000000,-1540000000,-665000000,-239724.5835,7394197.482,342361.7965,-0.5726627967,-0.05643357283,0.8178463016
58,-0.5695594274,-0.8216441308,0.02242721482,1,-150000000000,-1540000000,-665000000,-243925.6892,7393779.84,348361.5905,-0.5726304514,-0.0574225553,0.8178001078
59,-0.5695368987,-0.8216441537,0.02299140321,1,-150000000000,-1540000000,-665000000,-248126.5556,7393354.944,354361.0427,-0.5725975441,-0.05841148139,0.8177531115
60,-0.5695138111,-0.8216441766,0.02355556902,1,-150000000000,-1540000000,-665000000,-252327.1785,7392922.793,360360.1471,-0.5725640749,-0.0594003502,0.8177053127
61,-0.5694901647,-0.8216441995,0.02411971172,1,-150000000000,-1540000000,-665000000,-256527.5539,7392483.387,366358.8979,-0.572530044,-0.06038916069,0.8176567116
62,-0.5694659596,-0.8216442224,0.02468383071,1,-150000000000,-1540000000,-665000000,-260727.6775,7392036.727,372357.2892,-0.5724954513,-0.06137791194,0.817607308
63,-0.5694411955,-0.8216442453,0.02524792546,1,-150000000000,-1540000000,-665000000,-264927.5452,7391582.814,378355.3152,-0.5724602967,-0.06236660297,0.8175571023
64,-0.5694158727,-0.8216442682,0.02581199543,1,-150000000000,-1540000000,-665000000,-269127.153,7391121.648,384352.9698,-0.5724245805,-0.06335523279,0.8175060943
65,-0.5693899912,-0.8216442911,0.02637604005,1,-150000000000,-1540000000,-665000000,-273326.4967,7390653.229,390350.2474,-0.5723883025,-0.06434380044,0.817454284
66,-0.569363551,-0.8216443139,0.02694005878,1,-150000000000,-1540000000,-665000000,-277525.5722,7390177.557,396347.1418,-0.5723514629,-0.06533230496,0.8174016717
67,-0.5693365521,-0.8216443368,0.02750405105,1,-150000000000,-1540000000,-665000000,-281724.3754,7389694.634,402343.6474,-0.5723140617,-0.06632074536,0.8173482572
68,-0.5693089944,-0.8216443597,0.02806801631,1,-150000000000,-1540000000,-665000000,-285922.9021,7389204.46,408339.7582,-0.5722760988,-0.0673091207,0.8172940407
69,-0.5692808781,-0.8216443826,0.02863195402,1,-150000000000,-1540000000,-665000000,-290121.1483,7388707.035,414335.4682,-0.5722375744,-0.06829742997,0.8172390223
70,-0.5692522032,-0.8216444055,0.0291958636,1,-150000000000,-1540000000,-665000000,-294319.1097,7388202.36,420330.7717,-0.5721984885,-0.06928567225,0.8171832019
71,-0.5692229697,-0.8216444284,0.02975974453,1,-150000000000,-1540000000,-665000000,-298516.7824,7387690.435,426325.6628,-0.572158841,-0.07027384651,0.8171265796
72,-0.5691931776,-0.8216444513,0.03032359623,1,-150000000000,-1540000000,-665000000,-302714.1621,7387171.261,432320.1355,-0.5721186322,-0.07126195183,0.8170691555
73,-0.5691628271,-0.8216444741,0.03088741816,1,-150000000000,-1540000000,-665000000,-306911.2448,7386644.838,438314.1839,-0.572077862,-0.07224998722,0.8170109296
74,-0.569131918,-0.821644497,0.03145120978,1,-150000000000,-1540000000,-665000000,-311108.0264,7386111.166,444307.8023,-0.5720365304,-0.07323795173,0.8169519021
75,-0.5691004504,-0.8216445199,0.03201497051,1,-150000000000,-1540000000,-665000000,-315304.5026,7385570.247,450300.9847,-0.5719946374,-0.07422584435,0.8168920729
76,-0.5690684244,-0.8216445427,0.03257869981,1,-150000000000,-1540000000,-665000000,-319500.6695,7385022.081,456293.7252,-0.5719521832,-0.07521366414,0.8168314421
77,-0.56903584,-0.8216445656,0.03314239711,1,-150000000000,-1540000000,-665000000,-323696.5228,7384466.668,462286.018,-0.5719091678,-0.07620141014,0.8167700098
