,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,0.009475542263,0.00581566747,-0.9999381941,1,-150000000000,-1530000000,-664000000,7406000,0,0,0,0.5735768745,0.8191517375
1,0.008490519099,0.005811843876,-0.9999470654,0,-150000000000,-1530000000,-665000000,7405996.366,4207.929312,6009.539017,-0.0009905887898,0.5735765931,0.8191513356
2,0.007500027481,0.005811843872,-0.999954985,0,-150000000000,-1530000000,-665000000,7405985.465,8415.854495,12019.07214,-0.001981176607,0.5735757489,0.8191501298
3,0.006509528503,0.00581184387,-0.9999619235,0,-150000000000,-1530000000,-665000000,7405967.297,12623.77142,18028.59346,-0.002971762481,0.5735743418,0.8191481204
4,0.005519023139,0.005811843868,-0.9999678809,0,-150000000000,-1530000000,-665000000,7405941.862,16831.67596,24038.0971,-0.00396234544,0.5735723719,0.819145307
5,0.00452851236,0.005811843867,-0.9999728571,0,-150000000000,-1530000000,-665000000,7405909.16,21039.56398,30047.57715,-0.004952924509,0.5735698391,0.8191416899
6,0.003537997139,0.005811843867,-0.9999768522,0,-150000000000,-1530000000,-665000000,7405869.19,25247.43135,36057.02771,-0.005943498718,0.5735667436,0.819137269
7,0.002547478447,0.005811843866,-0.9999798662,0,-150000000000,-1530000000,-665000000,7405821.953,29455.27395,42066.44289,-0.006934067094,0.5735630853,0.8191320443
8,0.001556957255,0.005811843864,-0.999981899,0,-150000000000,-1530000000,-665000000,7405767.449,33663.08765,48075.81679,-0.007924628667,0.5735588641,0.8191260158
9,0.000566434534,0.005811843864,-0.9999829507,0,-150000000000,-1530000000,-665000000,7405705.678,37870.86832,54085.14352,-0.008915182465,0.57355408,0.8191191835
10,-0.000424088741,0.005811843865,-0.9999830212,0,-150000000000,-1530000000,-665000000,7405636.64,42078.61182,60094.41718,-0.009905727512,0.5735487332,0.8191115475
11,-0.001414611602,0.005811843865,-0.9999821105,0,-150000000000,-1530000000,-665000000,7405560.335,46286.31403,66103.63187,-0.01089626284,0.5735428235,0.8191031077
12,-0.002405133074,0.005811843865,-0.9999802187,0,-150000000000,-1530000000,-665000000,7405476.764,50493.97083,72112.78169,-0.01188678748,0.5735363511,0.8190938641
13,-0.003395652184,0.005811843867,-0.9999773458,0,-150000000000,-1530000000,-665000000,7405385.926,54701.57807,78121.86075,-0.01287730045,0.5735293159,0.8190838168
14,-0.004386167969,0.005811843867,-0.9999734917,0,-150000000000,-1530000000,-665000000,7405287.82,58909.13164,84130.86315,-0.01386780079,0.5735217179,0.8190729657
15,-0.005376679448,0.005811843868,-0.9999686565,0,-150000000000,-1530000000,-665000000,7405182.449,63116.62741,90139.783,-0.01485828752,0.5735135571,0.819061311
16,-0.006367185646,0.005811843871,-0.9999628401,0,-150000000000,-1530000000,-665000000,7405069.811,67324.06124,96148.6144,-0.01584875967,0.5735048337,0.8190488524
17,-0.007357685598,0.005811843868,-0.9999560426,0,-150000000000,-1530000000,-665000000,7404949.907,71531.42901,102157.3514,-0.01683921626,0.5734955472,0.8190355903
18,-0.008348178332,0.005811843879,-0.999948264,0,-150000000000,-1530000000,-665000000,7404822.736,75738.72658,108165.9883,-0.01782965633,0.5734856983,0.8190215243
19,-0.009338662882,0.005811843875,-0.9999395042,0,-150000000000,-1530000000,-665000000,7404688.299,79945.94984,114174.5189,-0.01882007891,0.5734752864,0.8190066547
20,-0.01032913827,0.005811843876,-0.9999297634,0,-150000000000,-1530000000,-665000000,7404546.597,84153.09464,120182.9375,-0.01981048303,0.5734643119,0.8189909815
21,-0.01131960351,0.005811843879,-0.9999190414,0,-150000000000,-1530000000,-665000000,7404397.628,88360.15688,126191.2382,-0.02080086769,0.5734527746,0.8189745046
22,-0.01231005766,0.005811843885,-0.9999073384,0,-150000000000,-1530000000,-665000000,7404241.394,92567.1324,132199.4151,-0.02179123196,0.5734406747,0.8189572241
23,-0.01330049972,0.005811843892,-0.9998946543,0,-150000000000,-1530000000,-665000000,7404077.894,96774.0171,138207.4623,-0.02278157482,0.573428012,0.8189391399
24,-0.01429092873,0.005811843897,-0.9998809891,0,-150000000000,-1530000000,-665000000,7403907.129,100980.8068,144215.3738,-0.02377189534,0.5734147866,0.8189202522
25,-0.01528134374,0.005811843894,-0.9998663428,0,-150000000000,-1530000000,-665000000,7403729.099,105187.4975,150223.1438,-0.02476219255,0.5734009986,0.8189005609
26,-0.01627174373,0.0058118439,-0.9998507156,0,-150000000000,-1530000000,-665000000,7403543.804,109394.0849,156230.7664,-0.02575246543,0.5733866479,0.818880066
27,-0.01726212777,0.005811843903,-0.9998341073,0,-150000000000,-1530000000,-665000000,7403351.244,113600.565,162238.2357,-0.02674271306,0.5733717346,0.8188587676
28,-0.01825249488,0.005811843908,-0.999816518,0,-150000000000,-1530000000,-665000000,7403151.419,117806.9336,168245.5458,-0.02773293446,0.5733562586,0.8188366657
29,-0.01924284407,0.005811843914,-0.9997979477,0,-150000000000,-1530000000,-665000000,7402944.33,122013.1866,174252.6908,-0.02872312862,0.5733402201,0.8188137602
30,-0.02023317438,0.005811843924,-0.9997783964,0,-150000000000,-1530000000,-665000000,7402729.976,126219.3199,180259.6649,-0.02971329461,0.5733236189,0.8187900513
31,-0.02122348484,0.005811843929,-0.9997578642,0,-150000000000,-1530000000,-665000000,7402508.359,130425.3293,186266.462,-0.03070343143,0.5733064551,0.818765539
32,-0.02221377448,0.005811843933,-0.9997363511,0,-150000000000,-1530000000,-665000000,7402279.477,134631.2108,192273.0764,-0.03169353813,0.5732887288,0.8187402232
33,-0.02320404233,0.005811843945,-0.9997138571,0,-150000000000,-1530000000,-665000000,7402043.332,138836.9601,198279.5021,-0.03268361374,0.57327044,0.8187141039
34,-0.02419428742,0.005811843947,-0.9996903821,0,-150000000000,-1530000000,-665000000,7401799.924,143042.5732,204285.7332,-0.03367365727,0.5732515885,0.8186871815
35,-0.02518450875,0.005811843962,-0.9996659263,0,-150000000000,-1530000000,-665000000,7401549.253,147248.0459,210291.7639,-0.03466366776,0.5732321746,0.8186594555
36,-0.02617470538,0.00581184396,-0.9996404897,0,-150000000000,-1530000000,-665000000,7401291.318,151453.3742,216297.5882,-0.03565364422,0.5732121982,0.8186309263
37,-0.02716487634,0.005811843974,-0.9996140722,0,-150000000000,-1530000000,-665000000,7401026.121,155658.5538,222303.2003,-0.03664358572,0.5731916593,0.8186015938
38,-0.02815502063,0.005811843979,-0.999586674,0,-150000000000,-1530000000,-665000000,7400753.662,159863.5807,228308.5942,-0.03763349124,0.573170558,0.8185714579
39,-0.02910691178,0.005866444032,-0.9995590899,0,-150000000000,-1540000000,-665000000,7400473.941,164068.4507,234313.7641,-0.03862335985,0.5731488942,0.8185405189
40,-0.03009700067,0.005866444043,-0.999529768,0,-150000000000,-1540000000,-665000000,7400186.957,168273.1597,240318.7041,-0.03961319055,0.573126668,0.8185087767
41,-0.03108706003,0.005866444036,-0.9994994654,0,-150000000000,-1540000000,-665000000,7399892.712,172477.7037,246323.4082,-0.04060298238,0.5731038794,0.8184762313
42,-0.0320770889,0.005866444057,-0.9994681822,0,-150000000000,-1540000000,-665000000,7399591.206,176682.0783,252327.8707,-0.04159273438,0.5730805285,0.8184428827
43,-0.03306708628,0.005866444059,-0.9994359182,0,-150000000000,-1540000000,-665000000,7399282.439,180886.2796,258332.0855,-0.04258244555,0.5730566152,0.8184087311
44,-0.03405705122,0.005866444073,-0.9994026737,0,-150000000000,-1540000000,-665000000,7398966.412,185090.3034,264336.0469,-0.04357211494,0.5730321397,0.8183737763
45,-0.03504698275,0.005866444081,-0.9993684486,0,-150000000000,-1540000000,-665000000,7398643.123,189294.1456,270339.7489,-0.04456174157,0.5730071017,0.8183380185
46,-0.03603687991,0.005866444095,-0.999333243,0,-150000000000,-1540000000,-665000000,7398312.575,193497.802,276343.1856,-0.04555132449,0.5729815016,0.8183014577
47,-0.0370267417,0.005866444103,-0.9992970568,0,-150000000000,-1540000000,-665000000,7397974.767,197701.2685,282346.3511,-0.0465408627,0.5729553391,0.818264094
48,-0.03801656715,0.005866444113,-0.9992598902,0,-150000000000,-1540000000,-665000000,7397629.7,201904.5411,288349.2396,-0.04753035523,0.5729286145,0.8182259272
49,-0.03900635532,0.005866444124,-0.9992217431,0,-150000000000,-1540000000,-665000000,7397277.374,206107.6155,294351.8451,-0.04851980114,0.5729013276,0.8181869577
50,-0.03999610521,0.005866444134,-0.9991826156,0,-150000000000,-1540000000,-665000000,7396917.789,210310.4877,300354.1618,-0.04950919942,0.5728734787,0.8181471852
51,-0.04098581586,0.005866444151,-0.9991425077,0,-150000000000,-1540000000,-665000000,7396550.946,214513.1535,306356.1838,-0.05049854913,0.5728450675,0.8181066099
52,-0.04197548631,0.005866444159,-0.9991014195,0,-150000000000,-1540000000,-665000000,7396176.845,218715.6088,312357.9051,-0.0514878493,0.5728160942,0.8180652318
53,-0.04296511556,0.005866444173,-0.9990593511,0,-150000000000,-1540000000,-665000000,7395795.486,222917.8495,318359.32,-0.05247709893,0.5727865589,0.8180230511
54,-0.04395470266,0.00586644418,-0.9990163023,0,-150000000000,-1540000000,-665000000,7395406.87,227119.8715,324360.4224,-0.05346629706,0.5727564615,0.8179800675
