,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,0.3439086371,-0.201666608,-0.9170918321,1,4720000000,-135000000000,-58500000000,4.53E-10,7406000,0,-0.5735768745,3.52E-17,0.8191517375
1,0.3430000515,-0.2016666046,-0.9174320383,0,4720000000,-135000000000,-58500000000,-4207.929312,7405996.366,6009.539017,-0.5735765931,-0.0009905887898,0.8191513356
2,0.3420911293,-0.2016666012,-0.9177713443,0,4720000000,-135000000000,-58500000000,-8415.854495,7405985.465,12019.07214,-0.5735757489,-0.001981176607,0.8191501298
3,0.3411818714,-0.2016665977,-0.9181097498,0,4720000000,-135000000000,-58500000000,-12623.77142,7405967.297,18028.59346,-0.5735743418,-0.002971762481,0.8191481204
4,0.3402722789,-0.2016665943,-0.9184472544,0,4720000000,-135000000000,-58500000000,-16831.67596,7405941.862,24038.0971,-0.5735723719,-0.00396234544,0.819145307
5,0.3393623525,-0.2016665909,-0.9187838579,0,4720000000,-135000000000,-58500000000,-21039.56398,7405909.16,30047.57715,-0.5735698391,-0.004952924509,0.8191416899
6,0.3384520931,-0.2016665875,-0.91911956,0,4720000000,-135000000000,-58500000000,-25247.43135,7405869.19,36057.02771,-0.5735667436,-0.005943498718,0.819137269
7,0.3375415016,-0.2016665841,-0.9194543602,0,4720000000,-135000000000,-58500000000,-29455.27395,7405821.953,42066.44289,-0.5735630853,-0.006934067094,0.8191320443
8,0.336630579,-0.2016665807,-0.9197882582,0,4720000000,-135000000000,-58500000000,-33663.08765,7405767.449,48075.81679,-0.5735588641,-0.007924628667,0.8191260158
9,0.3357193261,-0.2016665773,-0.9201212538,0,4720000000,-135000000000,-58500000000,-37870.86832,7405705.678,54085.14352,-0.57355408,-0.008915182465,0.8191191835
10,0.3348077439,-0.2016665739,-0.9204533466,0,4720000000,-135000000000,-58500000000,-42078.61182,7405636.64,60094.41718,-0.5735487332,-0.009905727512,0.8191115475
11,0.3338958331,-0.2016665706,-0.9207845362,0,4720000000,-135000000000,-58500000000,-46286.31403,7405560.335,66103.63187,-0.5735428235,-0.01089626284,0.8191031077
12,0.3329835947,-0.2016665672,-0.9211148224,0,4720000000,-135000000000,-58500000000,-50493.97083,7405476.764,72112.78169,-0.5735363511,-0.01188678748,0.8190938641
13,0.3320710297,-0.2016665639,-0.9214442048,0,4720000000,-135000000000,-58500000000,-54701.57807,7405385.926,78121.86075,-0.5735293159,-0.01287730045,0.8190838168
14,0.3311581388,-0.2016665605,-0.9217726831,0,4720000000,-135000000000,-58500000000,-58909.13164,7405287.82,84130.86315,-0.5735217179,-0.01386780079,0.8190729657
15,0.330244923,-0.2016665572,-0.922100257,0,4720000000,-135000000000,-58500000000,-63116.62741,7405182.449,90139.783,-0.5735135571,-0.01485828752,0.819061311
16,0.3293313832,-0.2016665539,-0.9224269261,0,4720000000,-135000000000,-58500000000,-67324.06124,7405069.811,96148.6144,-0.5735048337,-0.01584875967,0.8190488524
17,0.3284175204,-0.2016665506,-0.9227526902,0,4720000000,-135000000000,-58500000000,-71531.42901,7404949.907,102157.3514,-0.5734955472,-0.01683921626,0.8190355903
18,0.3275033352,-0.2016665473,-0.9230775489,0,4720000000,-135000000000,-58500000000,-75738.72658,7404822.736,108165.9883,-0.5734856983,-0.01782965633,0.8190215243
19,0.3265888288,-0.201666544,-0.9234015019,0,4720000000,-135000000000,-58500000000,-79945.94984,7404688.299,114174.5189,-0.5734752864,-0.01882007891,0.8190066547
20,0.3256740019,-0.2016665407,-0.9237245489,0,4720000000,-135000000000,-58500000000,-84153.09464,7404546.597,120182.9375,-0.5734643119,-0.01981048303,0.8189909815
21,0.3247588555,-0.2016665375,-0.9240466895,0,4720000000,-135000000000,-58500000000,-88360.15688,7404397.628,126191.2382,-0.5734527746,-0.02080086769,0.8189745046
22,0.3238433905,-0.2016665342,-0.9243679235,0,4720000000,-135000000000,-58500000000,-92567.1324,7404241.394,132199.4151,-0.5734406747,-0.02179123196,0.8189572241
23,0.3229276077,-0.201666531,-0.9246882505,0,4720000000,-135000000000,-58500000000,-96774.0171,7404077.894,138207.4623,-0.573428012,-0.02278157482,0.8189391399
24,0.3220115081,-0.2016665277,-0.9250076702,0,4720000000,-135000000000,-58500000000,-100980.8068,7403907.129,144215.3738,-0.5734147866,-0.02377189534,0.8189202522
25,0.3210950925,-0.2016665245,-0.9253261824,0,4720000000,-135000000000,-58500000000,-105187.4975,7403729.099,150223.1438,-0.5734009986,-0.02476219255,0.8189005609
26,0.320178362,-0.2016665213,-0.9256437866,0,4720000000,-135000000000,-58500000000,-109394.0849,7403543.804,156230.7664,-0.5733866479,-0.02575246543,0.818880066
27,0.3192613173,-0.2016665181,-0.9259604826,0,4720000000,-135000000000,-58500000000,-113600.565,7403351.244,162238.2357,-0.5733717346,-0.02674271306,0.8188587676
28,0.3183439593,-0.2016665149,-0.9262762701,0,4720000000,-135000000000,-58500000000,-117806.9336,7403151.419,168245.5458,-0.5733562586,-0.02773293446,0.8188366657
29,0.3174262891,-0.2016665117,-0.9265911487,0,4720000000,-135000000000,-58500000000,-122013.1866,7402944.33,174252.6908,-0.5733402201,-0.02872312862,0.8188137602
30,0.3165083073,-0.2016665085,-0.9269051182,0,4720000000,-135000000000,-58500000000,-126219.3199,7402729.976,180259.6649,-0.5733236189,-0.02971329461,0.8187900513
31,0.3155900151,-0.2016665053,-0.9272181782,0,4720000000,-135000000000,-58500000000,-130425.3293,7402508.359,186266.462,-0.5733064551,-0.03070343143,0.818765539
