,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,0.8515528068,0.5232904927,0.03201370924,1,4720000000,-135000000000,-58500000000,7406000,0,0,0,0.5735768745,0.8191517375
1,0.8515841151,0.5232904705,0.03117015413,1,4720000000,-135000000000,-58500000000,7405996.366,4207.929312,6009.539017,-0.0009905887901,0.5735765931,0.8191513355
2,0.8516145878,0.5232904482,0.03032656845,1,4720000000,-135000000000,-58500000000,7405985.465,8415.854495,12019.07214,-0.001981176609,0.5735757489,0.8191501298
3,0.8516442248,0.5232904261,0.02948295305,1,4720000000,-135000000000,-58500000000,7405967.297,12623.77142,18028.59346,-0.002971762482,0.5735743418,0.8191481204
4,0.8516730261,0.5232904038,0.02863930873,1,4720000000,-135000000000,-58500000000,7405941.862,16831.67596,24038.0971,-0.00396234544,0.5735723719,0.819145307
5,0.8517009917,0.5232903816,0.02779563633,1,4720000000,-135000000000,-58500000000,7405909.16,21039.56398,30047.57715,-0.00495292451,0.5735698392,0.8191416899
6,0.8517281216,0.5232903594,0.02695193668,1,4720000000,-135000000000,-58500000000,7405869.19,25247.43135,36057.02771,-0.00594349872,0.5735667437,0.819137269
7,0.8517544157,0.5232903371,0.0261082106,1,4720000000,-135000000000,-58500000000,7405821.953,29455.27396,42066.44289,-0.006934067099,0.5735630853,0.8191320443
8,0.851779874,0.5232903149,0.02526445893,1,4720000000,-135000000000,-58500000000,7405767.449,33663.08766,48075.8168,-0.00792462867,0.5735588641,0.8191260157
9,0.8518044964,0.5232902927,0.02442068249,1,4720000000,-135000000000,-58500000000,7405705.678,37870.86832,54085.14352,-0.008915182468,0.5735540801,0.8191191835
