,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,0.1994515827,0.9791527853,0.03845632823,1,-5840000000,139000000000,60400000000,-7406000,9.07E-10,0,-7.02E-17,-0.5735768745,0.8191517375
1,0.1994896257,0.9791527759,0.03825873461,1,-5840000000,139000000000,60400000000,-7405996.366,-4207.929312,6009.539017,0.0009905887904,-0.5735765932,0.8191513355
2,0.1995274729,0.9791527664,0.0380611034,1,-5840000000,139000000000,60400000000,-7405985.465,-8415.854495,12019.07214,0.001981176609,-0.5735757489,0.8191501298
3,0.1995651243,0.979152757,0.0378634348,1,-5840000000,139000000000,60400000000,-7405967.297,-12623.77142,18028.59346,0.002971762482,-0.5735743418,0.8191481204
4,0.1996025801,0.9791527475,0.037665729,1,-5840000000,139000000000,60400000000,-7405941.862,-16831.67596,24038.0971,0.003962345441,-0.573572372,0.819145307
5,0.1996398398,0.979152738,0.0374679862,1,-5840000000,139000000000,60400000000,-7405909.16,-21039.56398,30047.57715,0.004952924511,-0.5735698392,0.8191416899
6,0.1996769037,0.9791527286,0.03727020659,1,-5840000000,139000000000,60400000000,-7405869.19,-25247.43135,36057.02771,0.005943498721,-0.5735667437,0.819137269
7,0.1997137716,0.9791527191,0.03707239037,1,-5840000000,139000000000,60400000000,-7405821.953,-29455.27396,42066.44289,0.006934067099,-0.5735630853,0.8191320443
8,0.1997504435,0.9791527097,0.03687453772,1,-5840000000,139000000000,60400000000,-7405767.449,-33663.08766,48075.81679,0.007924628672,-0.5735588641,0.8191260158
9,0.1997869196,0.9791527002,0.03667664884,1,-5840000000,139000000000,60400000000,-7405705.678,-37870.86832,54085.14352,0.008915182469,-0.5735540802,0.8191191834
10,0.1998231995,0.9791526907,0.03647872393,1,-5840000000,139000000000,60400000000,-7405636.64,-42078.61183,60094.41718,0.009905727518,-0.5735487333,0.8191115474
11,0.1998592833,0.9791526813,0.03628076318,1,-5840000000,139000000000,60400000000,-7405560.335,-46286.31404,66103.63186,0.01089626285,-0.5735428237,0.8191031076
12,0.199895171,0.9791526718,0.03608276678,1,-5840000000,139000000000,60400000000,-7405476.764,-50493.97084,72112.78169,0.01188678748,-0.5735363513,0.819093864
13,0.1999308626,0.9791526623,0.03588473494,1,-5840000000,139000000000,60400000000,-7405385.926,-54701.57808,78121.86075,0.01287730046,-0.5735293161,0.8190838167
14,0.199966358,0.9791526528,0.03568666783,1,-5840000000,139000000000,60400000000,-7405287.82,-58909.13166,84130.86315,0.01386780079,-0.5735217181,0.8190729656
15,0.2000016571,0.9791526434,0.03548856567,1,-5840000000,139000000000,60400000000,-7405182.449,-63116.62742,90139.78299,0.01485828752,-0.5735135574,0.8190613108
16,0.2000367599,0.9791526339,0.03529042864,1,-5840000000,139000000000,60400000000,-7405069.811,-67324.06125,96148.61439,0.01584875966,-0.5735048337,0.8190488523
17,0.2000716666,0.9791526244,0.03509225693,1,-5840000000,139000000000,60400000000,-7404949.907,-71531.42902,102157.3514,0.01683921627,-0.5734955475,0.8190355901
18,0.2001063768,0.9791526149,0.03489405074,1,-5840000000,139000000000,60400000000,-7404822.736,-75738.7266,108165.9882,0.01782965634,-0.5734856984,0.8190215242
